Index,University,Artificial Intelligence & Machine Learning,Machine Learning,Data Science & Data Mining,Computer Vision & Image Processing,Natural Language Processing,Systems & Networking,Databases,Security & Privacy,Human Computer Interaction,Theoretical Computer Science,Software Engineering,Computer Graphics & Virtual Reality,Quantum Computing,Interdisciplinary Fields,Continent,Country
190,University of South Carolina,0.0,1.7083333333333333,0.0,2.201190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
191,University of Luxembourg,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Luxembourg
192,University of Hannover,0.0,2.6111111111111107,0.0,10.876190476190477,0.5583333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Germany
193,Boston University,0.0,30.170857737034197,0.0,25.013095238095232,3.483008658008658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
194,University College Dublin,0.0,2.3000000000000003,0.0,1.1428571428571428,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Ireland
195,Columbia University,0.0,64.47908346134153,0.0,49.48444976076557,19.05906593406593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
196,Queen's University Belfast,0.0,1.2,0.0,5.269444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,United Kingdom
197,Singapore Management University,0.0,10.733160800552104,0.0,23.84007936507936,2.0785714285714283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,Singapore
198,Renmin University of China,0.0,7.962301587301589,0.0,16.699999999999996,7.702813852813852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,China
199,Durham University,0.0,1.8666666666666665,0.0,5.8500000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,United Kingdom
200,Harvard University,0.0,86.67232324349195,0.0,34.09137806637804,9.366666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
201,University of Massachusetts Boston,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
202,Indiana University,0.0,5.819047619047619,0.0,5.258766233766234,2.669480519480519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
203,University of Oregon,0.0,2.526190476190476,0.0,4.425,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
204,ETS Montreal,0.0,3.65,0.0,22.79285714285714,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,Canada
205,Hacettepe University,0.0,0.2,0.0,3.0666666666666664,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,Turkey
206,SUSTech,0.0,1.12927807486631,0.0,5.927380952380954,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,China
207,Sapienza University of Rome,0.0,4.091666666666667,0.0,8.469444444444443,7.933333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Italy
208,Ecole Normale Superieure,0.0,52.91477591036414,0.0,27.552380952380947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,France
209,University of Kent,0.0,0.7352564102564103,0.0,1.0865384615384617,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,United Kingdom
210,Brown University,0.0,23.03589818041037,0.0,26.50779585911163,5.172895622895623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
211,IIT Madras,0.0,5.011111111111112,0.0,6.062838915470494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,India
212,City University of London,0.0,0.0,0.0,0.7428571428571428,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,United Kingdom
213,Kyung Hee University,0.0,0.25,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,South Korea
214,Monash University,0.0,7.927770562770562,0.0,16.235317460317457,4.158333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australasia,Australia
215,University of Ulm,0.0,0.0,0.0,1.7166666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Germany
216,New York Tech,0.0,0.0,0.0,0.7916666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
217,Beijing Institute of Technology,0.0,0.2857142857142857,0.0,0.4642857142857142,1.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,China
218,CRIStAL,0.0,11.35,0.0,3.6303030303030304,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,France
219,Queen Mary University of London,0.0,6.577380952380952,0.0,31.74285714285714,6.908333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,United Kingdom
220,University of Siegen,0.0,2.8095238095238093,0.0,25.826923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Germany
221,Victoria University of Wellington,0.0,2.3333333333333326,0.0,5.805158730158731,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australasia,New Zealand
222,University of Warwick,0.0,8.649999999999999,0.0,4.650613275613276,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,United Kingdom
223,Shandong University,0.0,0.7873015873015872,0.0,8.305158730158729,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,China
